Worst Time taken to sort Worstresults_datasize_140000_mean_3.0_variance_0.5.csv: 7 milliseconds


Average Time taken to sort results_datasize_140000_mean_3.0_variance_0.75.csv: 7 milliseconds
Best Time taken to sort Bestresults_datasize_140000_mean_3.0_variance_0.75.csv: 7 milliseconds
Worst Time taken to sort Worstresults_datasize_140000_mean_3.0_variance_0.75.csv: 7 milliseconds


Average Time taken to sort results_datasize_160000_mean_1.0_variance_0.25.csv: 8 milliseconds
Best Time taken to sort Bestresults_datasize_160000_mean_1.0_variance_0.25.csv: 8 milliseconds
Worst Time taken to sort Worstresults_datasize_160000_mean_1.0_variance_0.25.csv: 8 milliseconds


Average Time taken to sort results_datasize_160000_mean_1.0_variance_0.5.csv: 8 milliseconds
Best Time taken to sort Bestresults_datasize_160000_mean_1.0_variance_0.5.csv: 8 milliseconds
Worst Time taken to sort Worstresults_datasize_160000_mean_1.0_variance_0.5.csv: 8 milliseconds


Average Time taken to sort results_datasize_160000_mean_1.0_variance_0.75.csv: 8 milliseconds
Best Time taken to sort Bestresults_datasize_160000_mean_1.0_variance_0.75.csv: 8 milliseconds
Worst Time taken to sort Worstresults_datasize_160000_mean_1.0_variance_0.75.csv: 8 milliseconds


Average Time taken to sort results_datasize_160000_mean_2.0_variance_0.25.csv: 8 milliseconds
Best Time taken to sort Bestresults_datasize_160000_mean_2.0_variance_0.25.csv: 8 milliseconds
Worst Time taken to sort Worstresults_datasize_160000_mean_2.0_variance_0.25.csv: 8 milliseconds


Average Time taken to sort results_datasize_160000_mean_2.0_variance_0.5.csv: 8 milliseconds
Best Time taken to sort Bestresults_datasize_160000_mean_2.0_variance_0.5.csv: 8 milliseconds
Worst Time taken to sort Worstresults_datasize_160000_mean_2.0_variance_0.5.csv: 8 milliseconds


Average Time taken to sort results_datasize_160000_mean_2.0_variance_0.75.csv: 8 milliseconds
Best Time taken to sort Bestresults_datasize_160000_mean_2.0_variance_0.75.csv: 8 milliseconds
Worst Time taken to sort Worstresults_datasize_160000_mean_2.0_variance_0.75.csv: 8 milliseconds


Average Time taken to sort results_datasize_160000_mean_3.0_variance_0.25.csv: 8 milliseconds
Best Time taken to sort Bestresults_datasize_160000_mean_3.0_variance_0.25.csv: 8 milliseconds
Worst Time taken to sort Worstresults_datasize_160000_mean_3.0_variance_0.25.csv: 8 milliseconds


Average Time taken to sort results_datasize_160000_mean_3.0_variance_0.5.csv: 8 milliseconds
Best Time taken to sort Bestresults_datasize_160000_mean_3.0_variance_0.5.csv: 8 milliseconds
Worst Time taken to sort Worstresults_datasize_160000_mean_3.0_variance_0.5.csv: 8 milliseconds


Average Time taken to sort results_datasize_160000_mean_3.0_variance_0.75.csv: 8 milliseconds
Best Time taken to sort Bestresults_datasize_160000_mean_3.0_variance_0.75.csv: 8 milliseconds
Worst Time taken to sort Worstresults_datasize_160000_mean_3.0_variance_0.75.csv: 8 milliseconds


